date,trailingCashDividendsPaid,trailingPretaxIncome,annualNetIncome,quarterlyDilutedAverageShares,annualPretaxIncome,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualAccountsReceivable,annualPurchaseOfInvestment,annualLongTermDebt,quarterlyLongTermDebt,trailingPurchaseOfInvestment,annualBasicEPS,quarterlyOtherCurrentLiabilities,trailingInvestingCashFlow,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,annualGoodwill,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,annualOperatingIncome,annualInvestingCashFlow,quarterlyNetIncome,trailingSaleOfInvestment,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,annualTotalAssets,trailingCommonStockIssuance,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingTotalRevenue,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,annualChangeInAccountPayable,quarterlyPurchaseOfInvestment,annualAccountsPayable,trailingOtherIncomeExpense,annualDilutedAverageShares,annualNetPPE,annualOperatingCashFlow,quarterlyOperatingExpense,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualOtherIntangibleAssets,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualDilutedEPS,annualOtherNonCurrentAssets,annualEbitda,trailingNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,annualCurrentAssets,annualBeginningCashPosition,trailingCapitalExpenditure,annualGrossPPE,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyCapitalStock,annualSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,annualRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingGrossProfit,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualTaxProvision,quarterlyNetOtherInvestingChanges,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualInventory,trailingCostOfRevenue,quarterlyNetPPE,trailingResearchAndDevelopment,annualCapitalStock,quarterlyTaxProvision,annualCurrentDeferredRevenue,annualTotalRevenue,annualCostOfRevenue,annualOtherCurrentAssets,trailingChangeInInventory,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualTotalNonCurrentAssets,quarterlyEbitda,annualGrossProfit,trailingDepreciationAndAmortization,quarterlyStockBasedCompensation,annualFreeCashFlow,annualStockBasedCompensation,trailingTaxProvision,annualNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOperatingExpense,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,quarterlyRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,annualBasicAverageShares,quarterlyCurrentAssets,trailingNetIncome,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,annualTotalLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,annualChangeInInventory,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense
,,,-34088000.0,,-30325000.0,309737000.0,2000.0,,108108000.0,,73778000.0,73778000.0,,-0.115006,49404000.0,,90267000.0,45640000.0,-1749000.0,,108108000.0,,,,,73780000.0,132009000.0,,,-52878000.0,-30325000.0,-99547000.0,-52878000.0,,-8361000.0,31597000.0,,309737000.0,,42028000.0,124580000.0,,49985000.0,-52878000.0,8411000.0,,,,,,49985000.0,40453000.0,49985000.0,,,,38284000.0,,296277185.0,10815000.0,77389000.0,79712000.0,,73780000.0,103948000.0,16260000.0,49985000.0,12347000.0,,2578000.0,,12347000.0,-21573000.0,22480000.0,68634000.0,,,177728000.0,,22478000.0,,0.0,2000.0,-0.115006,22478000.0,94255000.0,,-6066000.0,40574000.0,-74506000.0,49985000.0,49985000.0,65551000.0,1419000.0,,,8411000.0,,264097000.0,33037000.0,,30693000.0,,,-4311000.0,-34088000.0,,,38284000.0,,0.0,123977000.0,,,-6066000.0,13571000.0,,51734000.0,8411000.0,,49404000.0,,,16948000.0,-4518000.0,,,132009000.0,-4648000.0,-19575000.0,16260000.0,,-19878000.0,40453000.0,,10815000.0,,0.0,-15691000.0,,572205000.0,410660000.0,65551000.0,,26275000.0,,45640000.0,2493000,161545000.0,,,72871000.0,,,0.0,37488000.0,,-19878000.0,-16441000.0,-20996000.0,,191870000.0,,-14561000.0,-34088000.0,-8361000.0,,7145000.0,,9699000.0,,,103838000,42572000.0,-1998000.0,-60158000.0,,,296277185.0,264097000.0,,103948000.0,,30693000.0,177728000.0,,-66141000,-7342000.0,,,,,,,,,
,,,,296241187.0,,264347000.0,35000.0,,,,,70258000.0,,,0.0,,57280000.0,52506000.0,-38396000.0,,86895000.0,,42218000.0,,,70293000.0,,,,-5179000.0,,,-5179000.0,,,25974000.0,,,,,,,,-5179000.0,0.0,,,,,-0.017501,11589000.0,42888000.0,11589000.0,,,,,,,,,33776000.0,,,,19860000.0,11589000.0,11705000.0,,1723000.0,,,-19722000.0,,14026000.0,,,154487000.0,,18491000.0,,0.0,,,,,,,-3219000.0,,,,17785000.0,-2435000.0,,,,,,,,,,,,,-14971000.0,,22116000.0,,0.0,,,,-8630000.0,27278000.0,296241187.0,49985000.0,,,,,,,,,,109860000.0,,-18095000.0,,,-19878000.0,,,11304000.0,,,-3042000.0,,,,,,,,,7528000,,,,,,,,-6027000.0,,,-4764000.0,-14804000.0,,,,,,-13540000.0,,29000.0,,7424000.0,,,84558000,-1592000.0,-1627000.0,-8221000.0,-0.017501,,,211841000.0,,84194000.0,,31182000.0,,,-6498000,,,,,,,,,,
,,,,309572520.0,,329527000.0,27000.0,,,,,67657000.0,,,0.0,,89170000.0,52362000.0,13615000.0,,136868000.0,,57646000.0,,,67684000.0,,,,4306000.0,,,4306000.0,,,34550000.0,,,,,,,,4306000.0,0.0,,,,,0.015001,25204000.0,47242000.0,25204000.0,,,,,,,,,45657000.0,,,,39792000.0,25204000.0,11174000.0,,2683000.0,,,-19597000.0,,23039000.0,,,209606000.0,,18638000.0,,0.0,,,,,,,10220000.0,,,,18000000.0,-4354000.0,,,,,,,,,,,,,0.0,,44484000.0,,0.0,,,,-9739000.0,55193000.0,286005699.0,11589000.0,,,,,,,,,,119921000.0,,-19087000.0,,,-19878000.0,,,11419000.0,,,2547000.0,,,,,,,,,32575000,,,,,,,,-16506000.0,,,-511000.0,23067000.0,,,,,,-9234000.0,,5422000.0,,11107000.0,,,144363000,12124000.0,-1904000.0,6853000.0,0.014167,,,277165000.0,,141922000.0,,31297000.0,,,9536000,,,,,,,,,,
,,,,364445777.0,,377415000.0,2000.0,,,,,65722000.0,,,0.0,,178794000.0,49021000.0,27144000.0,,166871000.0,,73929000.0,,,65724000.0,,,,20505000.0,,,20505000.0,,,39146000.0,,,,,,,,20505000.0,0.0,,,,,0.070004,52348000.0,49772000.0,52348000.0,,,,,,,,,50925000.0,,,,11390000.0,52348000.0,10892000.0,,2225000.0,,,-19082000.0,,30834000.0,,,231603000.0,,19328000.0,,0.0,,,,,,,66309000.0,,,,16309000.0,-2530000.0,,,,,,,,,,,,,0.0,,80560000.0,,0.0,,,,-8227000.0,85679000.0,293301334.0,25204000.0,,,,,,,,,,145812000.0,,-13778000.0,,,-19878000.0,,,15053000.0,,,12024000.0,,,,,,,,,65588000,,,,,,,,18987000.0,,,85000.0,-27485000.0,,,,,,11271000.0,,3024000.0,,11779000.0,,,264473000,71613000.0,-5304000.0,32529000.0,0.058336,,,328394000.0,,165879000.0,,34931000.0,,,34754000,,,,,,,,,,
,,,20507000.0,,32544000.0,359957000.0,0.0,,73802000.0,,63401000.0,63401000.0,,0.068337,0.0,,89366000.0,61727000.0,73202000.0,,73802000.0,,44039000.0,,,63401000.0,181306000.0,,,875000.0,39807000.0,-8631000.0,875000.0,,12146000.0,22822000.0,,359957000.0,,2547000.0,75193000.0,,125550000.0,875000.0,0.0,,,,,,125550000.0,43888000.0,125550000.0,,,,60980000.0,,328783560.0,15240000.0,81565000.0,35409000.0,,63401000.0,115250000.0,10231000.0,125550000.0,10316000.0,,2768000.0,,10316000.0,49770000.0,33588000.0,7294000.0,,,178651000.0,-14971000.0,22412000.0,,0.0,0.0,0.062503,22412000.0,115000000.0,,-11377000.0,-1525000.0,0.0,125550000.0,125550000.0,13196000.0,4036000.0,,,9399000.0,,298230000.0,49985000.0,,35028000.0,,,-6597000.0,20507000.0,0.0,,60980000.0,,0.0,122869000.0,,,-11377000.0,37424000.0,,52348000.0,0.0,,0.0,,,75565000.0,-9780000.0,,44039000.0,181306000.0,12037000.0,50960000.0,10231000.0,,-19788000.0,43888000.0,,15240000.0,,0.0,508000.0,,620183000.0,414609000.0,13196000.0,,41396000.0,,61727000.0,9309000,205574000.0,,,71785000.0,,,0.0,-17230000.0,,-19788000.0,-1407000.0,21769000.0,,165767000.0,,-20776000.0,20507000.0,12146000.0,,25113000.0,,11085000.0,,,126790000,-580000.0,-945000.0,1383000.0,,,298365081.0,298230000.0,,115250000.0,,35028000.0,178651000.0,,2015000,-5283000.0,,,,,,,,,
,,,,427694614.0,,376423000.0,0.0,,,,,3303000.0,,,0.0,,74120000.0,88438000.0,-19564000.0,,72066000.0,,41062000.0,,,3303000.0,,,,29000.0,,,29000.0,,,28501000.0,,,,,,,,29000.0,0.0,,,,,0.0,105986000.0,44198000.0,105986000.0,,,,,,,,,37692000.0,,,,1715000.0,105986000.0,10283000.0,,753000.0,,,-2421000.0,,7650000.0,,,88771000.0,,23051000.0,,0.0,,,,,,,-32478000.0,,,,12877000.0,-544000.0,,,,,,,,,,,,,,,42691000.0,,0.0,,,,-11601000.0,36457000.0,361265936.0,125550000.0,,,,,,,,,,287652000.0,,0.0,,,-19788000.0,,,16513000.0,,,17000.0,,,,,,,,,6415000,,,,,,,,-37181000.0,,,-23600000.0,12888000.0,,,,,,12175000.0,,21517000.0,,9191000.0,,,110577000,-29666000.0,-2812000.0,46000.0,0.0,,,287985000.0,,85468000.0,,36301000.0,,,-1235000,,,,,,,,,,
,,,,457177140.0,,404811000.0,0.0,,,,,3425000.0,,,0.0,,101322000.0,96688000.0,16166000.0,,86391000.0,,43612000.0,,,3425000.0,,,,2215000.0,,,2215000.0,,,26118000.0,,,,,,,,2215000.0,0.0,,,,,0.005834,122152000.0,33892000.0,122152000.0,,,,,,,,,35138000.0,,,,2337000.0,122152000.0,10458000.0,,,,,-1840000.0,,12560000.0,,,109791000.0,,29324000.0,,0.0,,,,,,,11922000.0,,,,14758000.0,10540000.0,,,,,,,,,,,,,,,60417000.0,,0.0,,,,-9865000.0,38282000.0,398872055.0,105986000.0,,,,,,,,,,295020000.0,,0.0,,,-19788000.0,,,17209000.0,,,1301000.0,,,,,,,,,15704000,,,,,,,,-1915000.0,,,-599000.0,2896000.0,,,,,,14390000.0,,2199000.0,,9020000.0,,,139604000,13762000.0,-1840000.0,3516000.0,0.005,,,308123000.0,,106366000.0,,36997000.0,,,3144000,,,,,,,,,,
,,,,474320283.0,,594202000.0,0.0,,,,,3209000.0,,,0.0,,253644000.0,98993000.0,72539000.0,,203379000.0,,83705000.0,,,3209000.0,,,,39110000.0,,,39110000.0,,,45048000.0,,,,,,,,39110000.0,0.0,,,,,0.093755,194691000.0,30630000.0,194691000.0,,,,,,,,,55896000.0,,,,489000.0,194691000.0,25497000.0,,,,,-1827000.0,,36167000.0,,,208593000.0,,20783000.0,,0.0,,,,,,,58396000.0,,,,10861000.0,3262000.0,,,,,,,,,,,,,,,121190000.0,,0.0,,,,-10300000.0,117697000.0,418851056.0,122152000.0,,,,,,,,,,385609000.0,,-129000.0,,,-19788000.0,,,17598000.0,,,22962000.0,,,,,,,,,97968000,,,,,,,,-32587000.0,,,-2810000.0,14133000.0,,,,,,53500000.0,,16271000.0,,10848000.0,,,371341000,60327000.0,-1931000.0,62072000.0,0.082504,,,495209000.0,,205384000.0,,37386000.0,,,61801000,,,,,,,,,,
,,,52238000.0,,83120000.0,556887000.0,0.0,,76733000.0,,3122000.0,3122000.0,,0.128756,0.0,,105646000.0,100014000.0,84316000.0,35992000.0,76733000.0,,59096000.0,,,3122000.0,430091000.0,,,10884000.0,80574000.0,-8701000.0,10884000.0,,64384000.0,30502000.0,35992000.0,556887000.0,,50402000.0,68673000.0,,279007000.0,10884000.0,0.0,,,,,,279007000.0,20736000.0,279007000.0,,,,64410000.0,,475616218.0,17832000.0,111792000.0,42403000.0,,3122000.0,123674000.0,168000.0,279007000.0,10899000.0,,,,10899000.0,-2613000.0,60880000.0,12296000.0,,,126796000.0,-74000.0,6496000.0,,0.0,0.0,0.110006,6496000.0,149247000.0,,-11498000.0,64802000.0,-190000.0,279007000.0,279007000.0,57789000.0,9894000.0,,,,,456873000.0,125550000.0,,42692000.0,,,-23352000.0,52238000.0,0.0,,64410000.0,,0.0,130169000.0,,,-11498000.0,59265000.0,,194691000.0,0.0,,0.0,,,153457000.0,-9150000.0,,59096000.0,430091000.0,30882000.0,-61000.0,168000.0,,-24860000.0,20736000.0,,17832000.0,,0.0,6601000.0,,786434000.0,534731000.0,57789000.0,,40960000.0,,100014000.0,29158000,251703000.0,,,102642000.0,,,0.0,36270000.0,,-24860000.0,3657000.0,20485000.0,,171129000.0,,-35413000.0,52238000.0,64384000.0,,20893000.0,,11901000.0,,,164911000,67369000.0,-2567000.0,17485000.0,,,405187739.0,456873000.0,,123674000.0,,42692000.0,126796000.0,,16862000,23152000.0,,,,,,,,,
,,,,533973300.0,,854753000.0,0.0,,,,,3344000.0,,,0.0,,111825000.0,142373000.0,271323000.0,,64799000.0,,62707000.0,,,3344000.0,,,,20704000.0,,,20704000.0,,,36486000.0,,,,,,,,20704000.0,0.0,,,,,0.042502,550330000.0,25439000.0,550330000.0,,,,,,,,,48237000.0,,,,1130000.0,550330000.0,53910000.0,,536000.0,,,-15043000.0,,20695000.0,,,113068000.0,,35797000.0,,0.0,,,,,,,16188000.0,,,,52867000.0,-4703000.0,,,,,,,,,,,,,,,45887000.0,,0.0,,,,-6118000.0,79433000.0,480287984.0,279007000.0,,,,,,,,,,741685000.0,,-1500000.0,,,-24860000.0,,,18642000.0,,,11648000.0,,,,,,,,,51891000,,,,,,,,-34538000.0,,,-1566000.0,264345000.0,,,,,,85088000.0,,263161000.0,,11751000.0,,,191258000,18048000.0,-1860000.0,32352000.0,0.038752,,,712380000.0,,109724000.0,,43502000.0,,,31196000,,,,,,,,,,
,,,,579867005.0,,883114000.0,0.0,,,,,3222000.0,,,0.0,,103977000.0,152239000.0,-210959000.0,,61395000.0,,63080000.0,,,3222000.0,,,,9086000.0,,,9086000.0,,,40602000.0,,,,,,,,9086000.0,-58000.0,,,,,0.017501,553699000.0,25118000.0,339371000.0,,,,,,,,,53861000.0,,,,189000.0,339371000.0,93529000.0,,136000.0,,,-217330000.0,,18508000.0,,,123771000.0,,15462000.0,,0.0,,,,,,,1117000.0,,,,68899000.0,321000.0,,,,,,,,,,,,,,,57280000.0,,0.0,,,,-5448000.0,65195000.0,534221287.0,550330000.0,,,,,,,,,,759343000.0,,0.0,,,-24860000.0,,,19354000.0,,,5113000.0,,,,,,,,,29842000,,,,,,,,-33599000.0,,,7311000.0,1445000.0,,,214328000.0,,,94174000.0,,2508000.0,,13259000.0,,,169172000,4032000.0,-2915000.0,14199000.0,0.016251,,,730875000.0,,120549000.0,,44214000.0,,,11334000,,,,,,,,,,
,,,,566491674.0,,971117000.0,0.0,,,,,2676000.0,,,0.0,,253302000.0,153415000.0,19613000.0,,158393000.0,,93815000.0,,,2676000.0,,,,44347000.0,,,44347000.0,,,44864000.0,68100000.0,,,,,,,44347000.0,132000.0,,,,,0.082504,528858000.0,37284000.0,358984000.0,,,-75953000.0,,,,,,58622000.0,,,,145000.0,358984000.0,42221000.0,,138000.0,,,33938000.0,,43423000.0,,,203294000.0,,11547000.0,,0.0,,,,,,,24804000.0,,,,65822000.0,-12166000.0,,,,,,,,,121165000.0,,,,,,106658000.0,,0.0,,,,-2295000.0,125383000.0,534421277.0,339371000.0,,,,,,,,,,767823000.0,,-21199000.0,,,-24860000.0,,,19741000.0,,,24947000.0,,,,,,,,,110184000,,,,,,,,-76670000.0,,,7072000.0,-43502000.0,,,169874000.0,,,138521000.0,,1265000.0,,13758000.0,,,378685000,26970000.0,-2166000.0,69294000.0,0.078754,,,817702000.0,,200618000.0,,44601000.0,,,66761000,,,,,,,,,,
,,,66180000.0,,103407000.0,704816000.0,0.0,,15822000.0,-408175000.0,2671000.0,2671000.0,,0.086254,0.0,,96069000.0,177911000.0,-73430000.0,,15822000.0,287145000.0,58656000.0,,,2671000.0,597740000.0,,,-7957000.0,94847000.0,-155101000.0,-7957000.0,,130564000.0,25173000.0,,704816000.0,,64090000.0,112295000.0,,285554000.0,-7957000.0,159000.0,,,,,,406954000.0,19577000.0,285554000.0,,,-24058000.0,45602000.0,,829198538.0,22265000.0,90975000.0,43376000.0,,2671000.0,104405000.0,147000.0,285554000.0,104962000.0,121400000.0,123000.0,,104962000.0,43334000.0,268619000.0,29669000.0,,,107076000.0,-203809000.0,40362000.0,,0.0,0.0,0.080004,40362000.0,207142000.0,,-3434000.0,36989000.0,-995000.0,285554000.0,406954000.0,46262000.0,17707000.0,,,933000.0,,526905000.0,279007000.0,,51570000.0,72328000.0,,3355000.0,66180000.0,-159880000.0,,45602000.0,,0.0,147125000.0,,,-3434000.0,28932000.0,,358984000.0,234000.0,,0.0,,,6547000.0,-11877000.0,,58656000.0,597740000.0,37227000.0,21704000.0,147000.0,,-29305000.0,19577000.0,,22265000.0,,0.0,-4481000.0,,864116000.0,565173000.0,46262000.0,,56971000.0,,177911000.0,15225000,298943000.0,,,79098000.0,,,0.0,30068000.0,,-29305000.0,-9462000.0,-158198000.0,,204096000.0,121400000.0,-114739000.0,66180000.0,130564000.0,,1685000.0,,18203000.0,,,125001000,41925000.0,-4936000.0,-12438000.0,,,769873504.0,526905000.0,,104405000.0,,51570000.0,107076000.0,,-14444000,1159000.0,,,,,,,,,
,,,,500081661.0,,730757000.0,,,,,,,,,0.0,,102251000.0,181751000.0,5279000.0,,33328000.0,,48062000.0,,,,,,,4163000.0,,,4163000.0,,,37748000.0,,,,,,,,4163000.0,-4000.0,,,,,0.009375,389775000.0,25107000.0,290833000.0,,,-24500000.0,,,,,,51328000.0,,,,,290833000.0,94128000.0,,195000.0,,,16759000.0,,21296000.0,,,99402000.0,,47569000.0,,0.0,,,,,,,-29369000.0,,,,67321000.0,-5530000.0,,,,,,,,,46930000.0,,,,-55234000.0,,51340000.0,,0.0,,,,267000.0,56474000.0,469555188.0,285554000.0,,,,,,,,,,631355000.0,,0.0,,,-29305000.0,,,26358000.0,,,2240000.0,,,,,,,,,26442000,,,,,,,,-51110000.0,,,1441000.0,9274000.0,,,98942000.0,,,134727000.0,,67326000.0,,13580000.0,,,158725000,-23698000.0,-5671000.0,6403000.0,0.0075,,,549006000.0,,99402000.0,,55663000.0,,,5146000,,,,,,,,,,
,,,,470173823.0,,763056000.0,,,,,,,,,0.0,,91189000.0,165133000.0,22613000.0,,29502000.0,,49947000.0,,,,,,,-10093000.0,,,-10093000.0,,,27373000.0,,,,,,,,-10093000.0,20000.0,,,,,-0.020626,411436000.0,21163000.0,313446000.0,,,-52811000.0,,,,,,43267000.0,,,,,313446000.0,67726000.0,,88000.0,,,-1594000.0,,15957000.0,,,98962000.0,,50545000.0,,120823000.0,,,,,,,-30935000.0,,,,103447000.0,3944000.0,,,,,,,,,53761000.0,,,,-6201000.0,,49015000.0,,0.0,,,,1173000.0,26334000.0,470173823.0,290833000.0,,,,,,,,,,664094000.0,,0.0,,,-29305000.0,,,26562000.0,,,-5436000.0,,,,,,,,,-976000,,,,,,,,-29197000.0,,,-5504000.0,52074000.0,,,97990000.0,,,124634000.0,,-62548000.0,,15894000.0,,,117523000,-28391000.0,-2544000.0,-15529000.0,-0.020626,,,597923000.0,,98962000.0,,55867000.0,,,-16933000,,,,,,,,,,
,,,,519179373.0,,1101291000.0,0.0,,,,,,,,0.0,,268445000.0,151709000.0,111978000.0,,241929000.0,,128687000.0,,,5381000.0,,,,76981000.0,,,76981000.0,,,72751000.0,,,,,,,,76981000.0,1000.0,,,,5381000.0,0.163133,551677000.0,35506000.0,425424000.0,,,-53747000.0,,,,,,128105000.0,,,,,425424000.0,97096000.0,,43000.0,,,-33022000.0,,46734000.0,,,305004000.0,,28238000.0,,-120823000.0,,,,,,,97183000.0,,,,84300000.0,-14343000.0,,,,,,,,,25445000.0,,,,-11182000.0,,170936000.0,,0.0,,,,7455000.0,240066000.0,473378996.0,313446000.0,,,,,,,,,,796287000.0,,-3480000.0,,,-29305000.0,,,26375000.0,,,41444000.0,,,,,,,,,158695000,,,,,,,,-50590000.0,,,22689000.0,41127000.0,,,126253000.0,,,201615000.0,,173132000.0,,50354000.0,,,508511000,98423000.0,-1240000.0,118425000.0,0.148132,,,949582000.0,,299623000.0,,55680000.0,,,111961000,,,,,,,,,,
,,,77715000.0,,115992000.0,968817000.0,,,62577000.0,-195587000.0,,,,0.163133,0.0,,105262000.0,156942000.0,41128000.0,,62577000.0,195874000.0,63205000.0,,,,832738000.0,,,6664000.0,109817000.0,-15169000.0,6664000.0,,208279000.0,34961000.0,,968817000.0,,117569000.0,98696000.0,,466552000.0,6664000.0,4000.0,,,,,,587649000.0,26427000.0,466552000.0,,,-64529000.0,72874000.0,,515149352.0,25539000.0,67403000.0,52992000.0,,,136079000.0,,466552000.0,92873000.0,121097000.0,63000.0,,92873000.0,2688000.0,193004000.0,14709000.0,,,136079000.0,-72617000.0,29466000.0,,0.0,,0.151883,29466000.0,208513000.0,,9961000.0,18548000.0,0.0,466552000.0,587649000.0,109095000.0,9079000.0,,,348000.0,,811875000.0,285554000.0,,58239000.0,69738000.0,,15147000.0,77715000.0,0.0,,72874000.0,,0.0,172833000.0,,,9961000.0,57635000.0,,425424000.0,21000.0,,0.0,,,180998000.0,-11976000.0,,63205000.0,832738000.0,38277000.0,0.0,,,-32700000.0,26427000.0,,25539000.0,,0.0,29000.0,,947656000.0,567147000.0,109095000.0,,97859000.0,,156942000.0,19352000,380509000.0,,,55427000.0,,,0.0,-5675000.0,,-32700000.0,-3479000.0,15094000.0,,270692000.0,121097000.0,-136572000.0,77715000.0,208279000.0,,15094000.0,,18031000.0,,,162897000,21069000.0,-2521000.0,6693000.0,,,473750533.0,811875000.0,,136079000.0,,58239000.0,136079000.0,,4643000,-6850000.0,,,,,,,,,
,,,,545419839.0,,985841000.0,,,,,,,,,0.0,,119019000.0,148476000.0,-126817000.0,,123048000.0,,56534000.0,,,,,,,11957000.0,,,11957000.0,,,55419000.0,,,,,,,,11957000.0,0.0,,,,,0.025314,539146000.0,39635000.0,339735000.0,,,-95493000.0,,,,,,76524000.0,,,,,339735000.0,94066000.0,,,,,-81412000.0,,34329000.0,,,132092000.0,,22903000.0,,0.0,,,,,,,-54017000.0,,,,112039000.0,-13208000.0,,,,,,,,,15962000.0,,,,,,75558000.0,,0.0,,,,7384000.0,92257000.0,489806619.0,466552000.0,,,,,,,,,,853749000.0,,0.0,,,-32700000.0,,,24841000.0,,,5888000.0,,,,,,,,,50062000,,,,,,,,-107047000.0,,,5028000.0,8034000.0,,,199411000.0,,,220236000.0,,8034000.0,,21105000.0,,,211276000,-52136000.0,-1881000.0,17845000.0,0.022501,,,837365000.0,,132092000.0,,57541000.0,,,15733000,,,,,,,,,,
,,,,542852856.0,,1104169000.0,,,,,,,,,0.0,,187091000.0,149296000.0,50056000.0,,138586000.0,,113341000.0,,,,,,,25543000.0,,,25543000.0,,,68996000.0,,,,,,,,25543000.0,471000.0,,,,,0.050628,606087000.0,63690000.0,389791000.0,,,-26142000.0,,,,,,88877000.0,,,,,389791000.0,97487000.0,,58000.0,,,-17429000.0,,36049000.0,,,216342000.0,,22041000.0,,0.0,,,,,,,60284000.0,,,,125307000.0,-24055000.0,,,,,,,,,11275000.0,,,,,,103001000.0,,0.0,,,,8839000.0,123535000.0,492437599.0,339735000.0,,,,,,,,,,887827000.0,,0.0,,,-32700000.0,,,24712000.0,,,11760000.0,,,,,,,,,70707000,,,,,,,,-3500000.0,,,3904000.0,4568000.0,,,216296000.0,,,245779000.0,,4568000.0,,19881000.0,,,310626000,62846000.0,-2562000.0,37303000.0,0.047815,,,954873000.0,,216342000.0,,57412000.0,,,34658000,,,,,,,,,,
