,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyResearchAndDevelopment,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,annualAccountsReceivable,annualDepreciationAndAmortization,quarterlyDilutedEPS,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualInvestingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,trailingPretaxIncome,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualGoodwill,quarterlyTaxProvision,trailingNetIncome,annualChangeInInventory,trailingCashDividendsPaid,quarterlyInventory,quarterlyNetPPE,trailingNetOtherInvestingChanges,quarterlyOtherCurrentLiabilities,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualDilutedAverageShares,annualCurrentLiabilities,annualNetPPE,quarterlyAccountsReceivable,annualOtherIntangibleAssets,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualInventory,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyBasicAverageShares,annualOtherNonCurrentLiabilities,annualOperatingIncome,quarterlyBasicEPS,quarterlyFreeCashFlow,annualCapitalStock,annualTotalRevenue,trailingResearchAndDevelopment,annualRepaymentOfDebt,trailingGrossProfit,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingEndCashPosition,annualBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualEndCashPosition,trailingInterestExpense,annualPretaxIncome,trailingPurchaseOfInvestment,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,trailingOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualGrossPPE,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,annualSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualNetIncomeContinuousOperations,annualBasicEPS,annualCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyGrossPPE,annualCapitalExpenditure,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyEndCashPosition,trailingBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,quarterlyChangeInInventory,quarterlyOtherNonCashItems,annualDilutedEPS,annualCurrentAssets,annualResearchAndDevelopment,annualEbitda,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,annualNetIncomeCommonStockholders,quarterlyRetainedEarnings,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,trailingNetIncomeCommonStockholders,annualCostOfRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,trailingFreeCashFlow,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyStockholdersEquity,annualTotalAssets,quarterlyNetOtherInvestingChanges,annualTaxProvision,annualCurrentDebt,annualCashDividendsPaid,quarterlyRepaymentOfDebt,annualBeginningCashPosition,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1167523200,,426139180.87,4551481300.12,,14882371309.77,,,-46108250.55,364609673.22,51678327.81,,-1853392042.0,9510878980.91,-1551820844.62,0.0,1279147367.14,,,944704598.83,795624735.21,,484504026.44,,-7856661489.28,,30805028158.96,510291057.49,,1090094000.0,-3024121481.87,,6076472372.76,1009053.86,-5684724084.58,,21884969698.68,510291057.49,364609673.22,,5283706020.49,6644911612.97,30805028158.96,10744704251.95,,22313234.14,4369898751.0,5459989177.6,,,49068891.16,3593635128.14,,1233039116.59,4369898751.0,17846777966.03,,-3681696980.16,,78150853.14,7494660487.7,1090094000.0,,,795624735.21,48507917570.69,10743695198.09,,3396518226.62,,,3830123814.12,2715470000.0,10743695198.09,,5952263493.07,,10744704251.95,,,123257741.47,510291057.49,101552178.76,-642124350.72,3296666119.66,1477679714.52,31501921434.67,0.0,,3051276484.83,,,-6654898.98,5952263493.07,2308440478.62,0.221655,10743695198.09,1593511034.51,510291057.49,-136018238.71,9373138492.42,,-589142285.31,5501690722.81,10743695198.09,,167601429.4,,7122688263.96,147162387.4,0.221655,44677793756.57,,3615797983.83,-412105465.85,9616951735.99,1553074038.17,2154639315.18,668538492.81,-3160139720.58,31501921434.67,44677793756.57,,5501690722.81,1009053.86,21884969698.68,9616951735.99,1429208625.27,1703155085.15,,11201866353.06,,,,629992932.02,668538492.81,14882371309.77,48507917570.69,42685375.44,1088077748.0,2715470000.0,-1177873626.52,-1032018730.92,3249034710.39,9510878980.91,0.0,2154639315.18,0.0,139147615.66,,3830123814.12,49068891.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175299200,,,115189650.0,,,,,-8166190.46,,,0.058333,,12309609730.61,,0.0,,,,616108912.17,612349282.31,,214638289.46,,,,34681890561.76,505039011.82,,1954970303.34,,115189650.0,2280512837.18,1602684.84,,,,,299825550.82,,-1519942565.69,,,,,,4369898751.0,10743695198.09,,10497416268.0,,,0.058333,-3245792329.73,,,,,,,,,,,612349282.31,50178579910.92,,,,,,2538216459.35,1852990000.0,9223752632.4,,,,9225355317.24,,,25480433.69,,25926857.04,-96115033.33,1833625987.04,,32227369614.41,,,,,,,3495932975.7,,,,858098030.12,505039011.82,,4114138824.22,,-805448787.45,,9223752632.4,,,,,,,,,,-226372110.55,,856674058.67,,1443829427.94,,,47640363451.57,-750015579.88,,,19835147047.2,12392222567.21,830747201.63,975527956.92,,,46248443.39,,,463178818.21,,15656607707.4,,23362556.13,,,,-1889900000.0,,,0.0,,,,10497416268.0,,33001401.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183161600,,,102856589.2,,,,,-33450817.48,,,,,15870312243.31,,0.0,,,,1184756067.98,1055650658.45,,511041023.88,,,,43333003938.05,515644425.38,,3077148000.0,,102856589.2,3765802520.74,4015523.52,,,,,446272044.62,,2862182421.45,,,,,,6554848126.0,9223752632.4,,,,,,225252637.89,,,,,,,,,,,1055650658.45,63670342453.68,,,,,,3244535779.15,1840000000.0,12085935053.85,,,,12089950577.37,,,20230741.57,,173428418.46,-1109473849.02,3216579597.23,,45432952146.75,,,,,,,6429699189.19,,,,1888848996.25,515644425.38,,6982382117.97,,-1389609263.37,,12085935053.85,,,,,,,,,,-955107460.35,,1869225510.32,,1850052893.62,,,60425806674.53,-321764950.16,,,29502216291.53,15930735855.22,1695797091.86,1327730600.98,,,18858378.53,,,529911439.18,,15814080035.36,,55976165.02,,,,-1633304011.66,,,0.0,,,,,,33386427.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191110400,,,10420647693.72,,,,,-30936818.09,,,0.025,,17770538277.09,,0.0,,,,289733464.28,248886856.41,,137390883.37,,,,61056455277.03,593152418.53,,5867148000.0,,10420647693.72,1469994252.38,,,,,,317512660.57,,10302021648.48,,,,,,6872006387.0,12085935053.85,,9955474256.0,,,0.025,-2961463264.64,,,,,,,,,,,248886856.41,95027325209.92,,,,,,2356390193.42,450000000.0,22387956702.33,,,,22387956702.33,,,83658463.72,,100937001.8,948393506.35,1606950684.49,,65571098976.85,,,,,,,6602873390.84,,,,512152702.66,593152418.53,,3076944936.87,,162024238.42,,22387956702.33,,,,,,,,,,-252266397.61,,528061349.45,,2098939750.03,,,92670935016.5,-929145855.31,,,45150393932.66,20420705044.19,427124347.65,1094797981.83,,,25433543.64,,,704348013.47,,26104827495.39,,89297678.37,,,,-1924629011.69,,,0.0,,,,9955474256.0,,62264574.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,991004610.53,149413102.7,1311075222.8,,29278647601.2,,,-185343959.29,864883012.55,108228054.31,,-536167214.8,16362079840.21,-4604035225.19,0.0,,,,3226902373.39,2927348697.04,,1461034670.8,,-32392687516.8,,66472876871.4,846475795.2,,7488676903.65,-10437715815.8,1311075222.8,13091029354.14,,-15788185842.69,10617502453.0,48773983644.4,846475795.2,864883012.55,,-5341452118.02,14919272337.5,66472876871.4,17046504584.31,,,6872006387.0,22387956702.33,,,37962953.43,7845189818.16,,-4713610644.64,6872006387.0,35526611301.94,,-7156929770.9,,-4031107807.88,6302809386.22,7488676903.65,,10617502453.0,2927348697.04,100094467908.29,17046504584.31,,7641605685.33,,,4661948720.12,1104850000.0,17046504584.31,,11103797389.76,,17046504584.31,,,20043463.72,846475795.2,263212425.79,-278971838.8,8262116068.74,2958309525.49,66174944879.25,0.0,,7074082519.34,,,,11103797389.76,5317500817.82,0.45625,17046504584.31,4586090089.13,846475795.2,-257897785.32,21353145422.88,,-2571001412.79,11949769155.72,17046504584.31,,542296341.15,,,,0.45625,95432519188.17,,8292130080.79,-458698163.08,17400961234.85,4951149469.98,4844235494.21,4032906217.68,-10695613601.12,66174944879.25,95432519188.17,,11949769155.72,,48773983644.4,17400961234.85,4687937044.19,3676025979.61,,20607338964.44,991004610.53,,,1260871254.63,4032906217.68,29278647601.2,100094467908.29,-4199744207.4,2324104867.51,1104850000.0,-1892444131.59,-1709096747.55,10743695198.09,16362079840.21,0.0,4844235494.21,0.0,361910717.43,,4661948720.12,37962953.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206921600,,,336507408.0,,,,,-36772073.36,,,0.065625,,16485984470.98,,0.0,,,,741729795.71,718133261.64,,281098025.98,,,,72398283778.88,887931890.9,,8672000715.97,,336507408.0,3925912602.33,,,,,,865218305.83,,-1420417263.85,,,,,,6872006387.0,17046504584.31,,10942983035.0,,,0.065625,-1456734708.51,,,,,,,,,,,718133261.64,106060241267.34,,,,,,4163815455.78,1424850000.0,15626087320.46,,,,15626087320.46,,,0.0,,133089160.45,-550484972.9,2474523237.25,,70580384982.3,,,,,,,9202802987.72,,,,1176821425.27,887931890.9,,6400435839.58,,-1624565841.43,,15626087320.46,,,,,,,,,,-392167672.77,,1155916982.14,,4751039479.32,,,101896425811.56,-1081999763.17,,,53059884248.99,17520500733.31,1022827821.69,1297701811.98,,,979661278.18,,,650021136.83,,30203732418.75,,44591784.43,,,,-1743718049.31,,,0.0,,,,10942983035.0,,54854984.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214784000,,,20000000.0,,,,,-191984826.71,,,,,13698727369.46,,0.0,,,,1564940274.43,1342922450.61,,740188293.74,,,,81159874134.55,1040106480.37,,9612150887.96,,20000000.0,6245498943.29,,,,,,1032195093.15,,-256241690.47,,,,,,10995210218.0,15626087320.46,,,,,,-260910914.32,,,,,,,,,,,1342922450.61,111101241846.0,,,,,,4716926377.75,5350616527.77,15369845629.99,,,,15369845629.99,,,32732532.94,,214953775.19,-180788220.2,4609078236.34,,75278238390.6,,,,,,,10139958748.48,,,,2341714577.29,1040106480.37,,10854577179.63,,-945016184.99,,15369845629.99,,,,,,,,,,-1337501820.07,,2520082343.36,,5396966626.78,,,106384315468.25,-686566970.5,,,60622182594.72,14656055795.88,2305128568.17,2267363659.05,,,902219312.17,,,875906068.95,,30019950382.22,,78277873.69,,,,-4870556755.48,,,0.0,,,,,,55109114.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222732800,,,115750000.0,,,,,44397942.3,,,0.02,,15685654086.25,,0.0,,,,327650291.02,215486087.95,,94814628.61,,,,87375573467.61,938131779.71,,12536270483.48,,115750000.0,3244747998.23,,,,,,777669995.99,,4572572189.51,,,,,,10995210218.0,15369845629.99,,10774304398.0,,,0.02,-455853384.51,,,,,,,,,,,215486087.95,121465278006.22,,,,,,4313430381.91,4533515833.31,19942417819.5,,,,19942417819.5,,,845437332.0,,72084847.67,479978652.58,2042151959.7,,84613624978.24,,,,,,,10198440954.15,,,,989693195.08,938131779.71,,5286899957.93,,439158718.64,,19942417819.5,,,,,,,,,,-529293854.53,,494549767.3,,5612452714.73,,,117151847624.31,-977971459.48,,,67961030407.22,16652594571.02,422464919.63,1052458764.62,,,902975348.55,,,611555421.11,,30089228380.51,,46672548.31,,,,-3083376490.95,,,0.0,,,,10774304398.0,,63965136.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,867797927.6,1116738573.0,679050.9,,31891925262.4,,-2687055197.58,-30924776.91,922774844.24,94169012.73,,-1366213599.63,14942136091.84,-2844137431.91,0.0,,,,2005548791.57,1756628227.69,,566315524.97,,-12401019289.3,,85898696524.95,1453919789.08,,13264374576.45,-34151830.4,679050.9,11589114921.06,,-4757299058.09,10900459535.0,64553721902.6,1453919789.08,922774844.24,,35868110.42,15986504750.05,85898696524.95,19978285929.92,,,10995210218.0,19942417819.5,,,54374317.85,8061482506.12,,1924063442.26,10995210218.0,40991779214.96,,-11690595100.07,,298441056.08,2931781345.61,13264374576.45,,10900459535.0,1756628227.69,119236579721.09,19978285929.92,,6322285626.03,,,5780206517.17,4601968333.32,19978285929.92,,12895962836.63,,19978285929.92,,,238568708.06,1453919789.08,709261472.77,-1114919059.11,6860751316.76,3391149249.47,80418030239.89,0.0,,7925022243.93,,,,12895962836.63,4639869152.73,0.37,19978285929.92,3553253308.48,1453919789.08,-215283734.68,18449866237.82,,-713714124.13,472936458.9,19978285929.92,,982116926.24,,,,0.37,113456373203.92,,7398571565.0,-572947688.81,15864308337.29,3281125789.31,4033170027.89,6184277986.66,-249435565.08,80418030239.89,113456373203.92,59482995.57,472936458.9,,64553721902.6,15864308337.29,2571864316.54,3307498008.28,,25005274464.91,867797927.6,,,1253666622.58,6184277986.66,31891925262.4,119236579721.09,128898849.65,1682416473.3,4601968333.32,-2831911036.18,-1992943804.33,17046504584.31,14942136091.84,0.0,4033170027.89,0.0,668902426.69,,5780206517.17,54374317.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238457600,,,0.0,,,,,-14017126.2,,,0.07,,17943289499.99,,0.0,,,,888542552.19,768764018.98,,339139681.33,,,,84255401400.76,1467519423.97,,12126159350.17,,,5404078573.96,,,,,,1037137439.23,,6943635949.88,,,,,,10995210218.0,19978285929.92,,10982343128.0,,,0.07,3670623011.0,,,,,,,,,,,768764018.98,124833896323.46,,,,,,5729820054.58,6604540083.34,26921921879.8,,,,26921921879.8,,,142210242.06,,184318797.17,-13706499.23,2760240114.7,,85101543125.36,,,,,,,11057267587.88,,,,1383275746.97,1467519423.97,,8164318688.66,,15637266.14,,26921921879.8,,,,,,,,,,-585225464.78,,1412001030.69,,6953042005.64,,,119104076268.88,-152911830.07,,,66263834333.51,18837708791.85,1227682233.52,1376964367.73,,,845256682.1,,,521392455.43,,32690950450.18,,53697587.58,,,,-3100394756.0,,,0.0,,,,10982343128.0,,49162609.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,0.0,,,,,-5352391.03,,,,,19220323341.35,,0.0,,,,2211684702.6,1755628387.56,,751638422.12,,,,84165799266.96,1402384958.26,,9985512612.76,,,9603224794.24,,,,,,1001075236.38,,-41498337.06,,,,,,10995210218.0,26921921879.8,,,,,,6131592106.49,,,,,,,,,,,1755628387.56,124519928693.78,,,,,,5711152228.23,2141296944.44,26880423542.74,,,,26880423542.74,,,72680272.3,,161382228.64,-206078.7,4041108944.92,,82714986998.65,,,,,,,12198850105.46,,,,2661772210.65,1402384958.26,,13644333739.16,,141471077.06,,26880423542.74,,,,,,,,,,-1101705400.04,,3124705353.36,,8158909882.3,,,118808776465.55,-99968634.71,,,62638612948.81,20076374049.84,2963323124.72,1379336734.27,,,805933302.4,,,599087098.48,,34521271885.59,,90504979.1,,,,-9281986281.0,,,0.0,,,,,,50117406.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,,157235000.0,,,,,-65105723.97,,,0.039,,23443556631.92,,0.0,,,,569754705.56,433199832.3,,256319103.06,,,,86752229378.23,1256057124.94,,6407677636.95,,,5611692588.89,,,,,,501523208.25,,734192552.43,,,,82378908.11,,10995210218.0,26880423542.74,,11107688008.0,,,0.039,1354518900.94,,,,,,,,,,,433199832.3,129502509181.71,,,,,,5709741221.99,1915242246.93,27614616095.17,,,,27614616095.17,,,104349812.35,,187236160.41,-188893710.59,2123493440.75,,87138359462.8,,,,,,,12127516745.1,,,,847943672.01,1256057124.94,,7735186029.64,,-428725967.76,,27614616095.17,,,,,,,,,,-801468250.87,,1013309969.03,,8592109714.6,,,123792767959.72,-316136693.75,,,62865226540.52,24273132922.28,826073808.62,1275549768.74,,,785360259.2,,,701379173.42,,34942753923.68,,28034950.08,,,,-6440377802.95,,,0.0,,,,11107688008.0,,44216031.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,802464465.02,602482244.33,671849667.0,,37375888061.14,,-2975942928.47,-721586915.54,713191906.14,105043818.43,,-1577467490.52,23296534102.25,-4190660596.4,0.0,,,,2760025578.34,2372145488.16,,840323062.89,,1556571445.17,,90085294305.52,1949185254.61,,7440414366.78,9253351319.55,671849667.0,13895721747.91,740470.77,2867668346.17,11103620265.0,68058279849.28,1949185254.61,713191906.14,81966325.94,-5611841157.79,14366295438.49,90085294305.52,23002664301.57,81966325.94,,10995210218.0,27614616095.17,,,42763958.77,7808011445.03,,-2709444855.62,10995210218.0,48881013143.49,,-21640510970.25,,304714390.0,2024489007.46,7440414366.78,,11103620265.0,2372145488.16,137608554829.39,22002774937.38,,8617427808.09,,,7285275380.02,1188256111.11,23001923830.8,,16330047905.75,,23002664301.57,,,283241917.62,1949185254.61,420668425.31,-1374661202.0,5441452938.12,2955703641.64,92200042375.32,0.0,,6558283993.46,,,,16330047905.75,6430007538.69,0.48,23001923830.8,2915019815.4,1949185254.61,-806062156.74,19337174686.03,,-3919042971.84,829084667.0,22002774937.38,,845008722.21,,,,0.48,130323279449.37,,9567480348.73,-332712865.76,24141762526.04,4021017066.54,5329737727.0,8808398744.05,8447289162.81,92200042375.32,130323279449.37,-2406925769.94,829084667.0,740470.77,68058279849.28,24141762526.04,3600348641.23,2526433122.72,,34514717705.0,802464465.02,,,1133844914.31,8808398744.05,37375888061.14,137608554829.39,132476873.24,2187420269.4,1188256111.11,-2821111981.45,-2817752130.3,19978285929.92,23296534102.25,0.0,5329737727.0,0.0,573680423.04,,7285275380.02,42763958.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269993600,,,781153094.41,,,,,-22032730.53,,,0.1,,22435579144.66,,0.0,,,,1175955159.11,1126579449.19,,375655681.01,,,,103511656967.35,1999879587.19,,12305247376.84,,781153094.41,4749115444.95,,,,,,406782082.64,,-4674105522.18,,,,81577777.16,,10995210218.0,22002774937.38,,11265794492.0,,,0.1,-6822256852.1,,,,,,,,,,,1126579449.19,148395955756.86,,,,,,7509016436.66,430000000.0,17917618441.85,,,,17917618441.85,,,,,105592294.39,-1114037238.71,2755854309.58,,101002445169.57,,,,,,,15937825057.03,,,,1407805155.5,1999879587.19,,7504969754.53,,-1415200762.53,,17328669415.2,,,,,,,,,,-568852620.24,,1657203134.51,,9934978193.24,,,140886939320.2,-313882526.28,,,77734839278.39,23267605891.18,1551610840.12,1348049154.08,,,786526062.49,,,602543363.93,,38979193609.75,,34627248.99,,,,-1893605139.72,,,0.0,,,,11265794492.0,,45500684.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,353810292.33,,,,,-18795277.61,,,,,25432564762.35,,0.0,,,,1984865729.81,1685919124.01,,611663780.73,,,,111531216743.51,2056878028.07,,12393019486.3,,353810292.33,5490633419.34,,,,,,336286525.75,,670713900.82,,,,81141161.6,,10995210218.0,17328669415.2,,,,,,-2732992335.01,,,,,,,,,,,1685919124.01,160512664552.08,,,,,,7951148650.17,1023308333.34,19111314733.47,,,,19111314733.47,,,,,269584188.01,-339305202.12,3770727275.89,,112092855774.28,,,,,,,13345146050.98,,,,2250767890.84,2056878028.07,,9261360695.23,,839026167.54,,17999383316.02,,,,,,,,,,-1248441271.49,,2866113698.55,,10849520735.68,,,152561515901.91,502047540.51,,,85884688461.1,26208167313.18,2596529510.54,1519959385.05,,,733256815.27,,,567124000.2,,39772953744.39,,96826332.48,,,,-3174284425.65,,,0.0,,,,,,42345735.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,,,459278112.6,,,,,-15332931.66,,,0.042,,29131764583.3,,0.0,,,,664824769.49,459505335.25,,249780698.29,,,,123195755582.51,2074938844.16,,13831108147.57,,459278112.6,3456404608.88,,,,,,192537178.21,,12714304211.18,,,,80718585.76,,10995210218.0,17999383316.02,,10940603220.0,,,0.042,8291724657.31,,,,,,,,,,,459505335.25,187935298155.38,,,,,,8329710624.28,2000070312.5,31543455323.84,,,,31543455323.84,,,19879093.53,,35825703.83,-70434456.62,2157694800.52,,138598564972.19,,,,,,,13134370053.86,,,,926802472.02,2074938844.16,,5614099409.4,,-1042490701.03,,30713687527.18,,,,,,,,,,-903399638.08,,950431171.61,,11309026070.9,,,179605587531.1,-664555738.9,,,108691043196.62,29907521775.57,914605467.78,1230892328.5,,,723639012.12,,,703347168.96,,40255221613.68,,-298473489.95,,,,-3814901316.48,,,0.0,,,,10940603220.0,,52118180.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,738993358.99,650223565.88,384779935.74,,44232676791.11,,-1364056191.97,-205777611.42,1594024561.07,116807210.04,,-2183848057.74,30611643797.53,-2191659310.46,1055992714.51,,,,5013964846.63,4011123130.7,,1864041913.95,,-35529232749.19,,133333458045.93,1983864068.05,,15305690786.98,2237255451.45,384779935.74,16377341758.01,,-5981165555.69,11035040968.0,129650791498.49,1983864068.05,1594024561.07,373951887.29,4383247888.55,20640356211.45,133333458045.93,37816932911.84,373951887.29,,10995210218.0,30713687527.18,,,49923444.41,11090785300.18,,3238841430.03,10995210218.0,50713851442.63,,-11985374651.54,,950318510.74,13094160478.37,15305690786.98,,11035040968.0,4011123130.7,215637551741.83,35096935415.75,,11940752579.02,,,10116819540.51,1478000000.0,37816932911.84,,16923777818.98,,37816932911.84,,,52518759.54,1983864068.05,828486628.3,-660071160.29,11956079825.46,3925462106.53,161051352099.42,1055992714.51,,9549570911.27,,,,16923777818.98,8839610505.04,0.66,37816932911.84,6505409781.82,1983864068.05,-261938551.22,28333421583.47,,-572994014.44,1979021435.08,35096935415.75,,1125638829.59,,,,0.66,205520732201.32,,13183198618.65,-679973042.35,31400560600.93,7706493388.88,7283127039.15,13470284310.05,1975316900.23,161051352099.42,205520732201.32,-887665467.3,1979021435.08,,129650791498.49,31400560600.93,6878006760.58,5450670043.64,,30073495231.18,738993358.99,,,2052447573.44,13470284310.05,44232676791.11,215637551741.83,1117338419.22,3101142073.98,1478000000.0,-3400666572.16,-3102583769.69,22002774937.38,30611643797.53,0.0,7283127039.15,0.0,504227742.57,,10116819540.51,49923444.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,,,705519176.26,,,,,-67885198.37,,,0.11,,26622625799.68,,1055992714.51,,,,1189964720.77,1205138559.33,,484490001.77,,,,150852395368.06,2013996679.06,,18569840312.92,,705519176.26,4068773609.46,,,,,,1102852078.52,,-2861669154.46,,,,329973358.79,,10995210218.0,35096935415.75,,10955805085.0,,,0.11,-2043094282.01,,,,,,,,,,,1205138559.33,235358830324.57,,,,,,10712186733.54,1718000000.0,37189322962.18,,,,37189322962.18,,,,,149239657.85,-230841729.22,3901481898.83,,179229585865.1,,,,,,,16225661524.35,,,,1851137049.13,2013996679.06,,7970255508.29,,-101226499.74,,32235266261.29,,,,,,,,,,-712908760.67,,1823694380.39,,14675422869.38,,,224646643591.03,-64997754.83,,,151807436944.93,27422148920.17,1674454722.54,2050344849.7,,,732726842.26,,,956200140.65,,45532824228.66,,262493657.68,,,,-5370000000.0,,,0.0,,,,10955805085.0,,66796278.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,1099133380.08,,,,,-56154747.2,,,,,29773300951.0,,1055992714.51,,,,2062552813.55,1772716093.77,,714801122.13,,,,171366411442.19,2128291357.07,,21431893713.1,,1099133380.08,6923956796.37,,,,,,1044885560.6,,7811503688.92,,,,330947628.92,,10995210218.0,32235266261.29,,,,,,5744903183.85,,,,,,,,,,,1772716093.77,260960278715.02,,,,,,11189483069.65,1607200000.0,40779468533.59,,,,40779468533.59,,,,,368351987.08,-167418770.43,5094625772.48,,203152796088.11,,,,,,,18435021487.32,,,,2794889519.96,2128291357.07,,12018582568.85,,-3006799923.87,,40046769950.21,,,,,,,,,,-2140261718.11,,3145705922.76,,15348617941.35,,,249770795645.37,-2977728316.69,,,172594413838.17,30558382249.94,2777353935.68,2299736252.52,,,729089043.23,,,870791434.28,,46204532889.3,,102261621.77,,,,-3127000000.0,,,0.0,,,,,,55992255.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
